campaign_title,banner_group,date,shows,clicks_count,spend_rub,leads,utm_source,utm_medium,utm_campaign,device_type
EcoHome_Heating,Heat_A,2024-03-01,5615,455,11282.75,16,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Heat_B,2024-03-01,15669,483,4306.32,32,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_A,2024-03-01,12226,92,11257.26,19,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_B,2024-03-01,19501,205,11815.93,29,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,SmartHome_A,2024-03-01,8020,487,13331.05,7,yandex,cpc,ecohome_heating,mobile
EcoHome_Solar,Heat_A,2024-03-01,11055,199,15242.24,28,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Heat_B,2024-03-01,12129,389,18095.57,15,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_A,2024-03-01,18117,568,12025.21,26,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Solar_B,2024-03-01,12382,137,18153.33,8,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-03-01,17466,261,7459.63,16,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-03-01,8294,313,19052.37,29,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Heat_B,2024-03-01,11419,429,5072.26,11,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_A,2024-03-01,8856,113,18270.29,28,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_B,2024-03-01,9589,572,16630.55,6,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,SmartHome_A,2024-03-01,7617,325,4883.56,23,yandex,cpc,ecohome_smarthome,mobile
EcoHome_Heating,Heat_A,2024-03-08,17851,534,12478.1,7,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Heat_B,2024-03-08,9331,105,6489.14,10,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_A,2024-03-08,5191,142,7720.1,9,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_B,2024-03-08,16803,98,9659.15,12,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,SmartHome_A,2024-03-08,9131,150,6721.85,3,yandex,cpc,ecohome_heating,desktop
EcoHome_Solar,Heat_A,2024-03-08,10457,215,17834.54,22,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Heat_B,2024-03-08,16905,80,8838.71,27,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_A,2024-03-08,15335,239,6194.38,9,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-03-08,8199,287,8987.04,22,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-03-08,8136,296,19747.75,33,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-03-08,16029,138,13188.6,11,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Heat_B,2024-03-08,13080,448,7187.94,14,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_A,2024-03-08,14718,574,19831.22,8,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_B,2024-03-08,19995,267,7122.66,17,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,SmartHome_A,2024-03-08,19031,250,11881.11,18,yandex,cpc,ecohome_smarthome,mobile
EcoHome_Heating,Heat_A,2024-03-15,18638,276,16795.49,15,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Heat_B,2024-03-15,15022,236,16199.15,12,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_A,2024-03-15,14040,278,12162.37,12,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_B,2024-03-15,19523,319,14315.92,3,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,SmartHome_A,2024-03-15,6574,121,9954.77,31,yandex,cpc,ecohome_heating,desktop
EcoHome_Solar,Heat_A,2024-03-15,19821,240,13134.04,27,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Heat_B,2024-03-15,14949,500,7499.36,33,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_A,2024-03-15,13597,471,19518.82,7,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-03-15,19520,55,9992.77,34,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,SmartHome_A,2024-03-15,9482,125,12908.56,30,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-03-15,10374,357,14764.23,30,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Heat_B,2024-03-15,9820,536,13422.93,3,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_A,2024-03-15,15878,325,10024.48,16,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_B,2024-03-15,7979,530,12869.4,12,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,SmartHome_A,2024-03-15,8129,377,18731.83,22,yandex,cpc,ecohome_smarthome,mobile
EcoHome_Heating,Heat_A,2024-03-22,13519,364,7810.35,12,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Heat_B,2024-03-22,14712,205,16169.21,15,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_A,2024-03-22,16265,560,13550.57,12,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_B,2024-03-22,5497,287,17240.85,12,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,SmartHome_A,2024-03-22,19292,516,13842.07,8,yandex,cpc,ecohome_heating,mobile
EcoHome_Solar,Heat_A,2024-03-22,7761,413,12020.41,22,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Heat_B,2024-03-22,19003,466,17647.71,8,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_A,2024-03-22,18678,50,16736.12,10,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-03-22,8791,314,9376.11,11,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-03-22,8308,121,18757.88,11,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-03-22,19442,281,7197.46,10,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Heat_B,2024-03-22,12850,322,7372.5,28,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_A,2024-03-22,8924,473,18866.32,5,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_B,2024-03-22,18233,542,17229.74,7,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,SmartHome_A,2024-03-22,15160,276,10697.32,23,yandex,cpc,ecohome_smarthome,desktop
EcoHome_Heating,Heat_A,2024-03-29,16412,164,8700.41,18,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Heat_B,2024-03-29,9763,322,14454.14,27,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_A,2024-03-29,14765,168,13594.04,3,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_B,2024-03-29,16481,226,8505.86,12,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,SmartHome_A,2024-03-29,12737,337,12688.34,18,yandex,cpc,ecohome_heating,mobile
EcoHome_Solar,Heat_A,2024-03-29,19587,404,6276.08,27,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Heat_B,2024-03-29,6961,259,19867.14,32,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Solar_A,2024-03-29,11603,521,9960.14,3,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-03-29,16755,186,7839.83,11,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-03-29,11615,424,19489.22,24,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-03-29,10698,299,4080.42,8,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Heat_B,2024-03-29,14107,409,13246.26,2,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_A,2024-03-29,14220,244,16112.77,15,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_B,2024-03-29,5270,212,7399.16,25,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,SmartHome_A,2024-03-29,11305,400,9708.3,11,yandex,cpc,ecohome_smarthome,desktop
EcoHome_Heating,Heat_A,2024-04-05,12299,136,8781.71,0,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Heat_B,2024-04-05,8672,427,13660.75,19,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_A,2024-04-05,5627,518,15758.81,32,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_B,2024-04-05,7341,192,19198.39,14,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,SmartHome_A,2024-04-05,12192,119,18438.61,22,yandex,cpc,ecohome_heating,mobile
EcoHome_Solar,Heat_A,2024-04-05,5090,579,5693.65,34,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Heat_B,2024-04-05,18159,241,18374.18,9,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Solar_A,2024-04-05,12347,552,8063.0,4,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-04-05,16500,360,9784.66,28,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-04-05,5584,563,15821.87,29,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-04-05,7011,157,5652.24,25,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Heat_B,2024-04-05,5890,494,7939.91,27,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_A,2024-04-05,17893,506,4508.46,20,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,Solar_B,2024-04-05,17961,296,5851.22,24,yandex,cpc,ecohome_smarthome,mobile
EcoHome_SmartHome,SmartHome_A,2024-04-05,5896,488,7492.16,0,yandex,cpc,ecohome_smarthome,desktop
EcoHome_Heating,Heat_A,2024-04-12,18048,240,15020.2,20,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Heat_B,2024-04-12,14424,71,11637.61,15,yandex,cpc,ecohome_heating,mobile
EcoHome_Heating,Solar_A,2024-04-12,11845,578,12916.97,12,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,Solar_B,2024-04-12,5165,545,11714.11,5,yandex,cpc,ecohome_heating,desktop
EcoHome_Heating,SmartHome_A,2024-04-12,11509,575,10095.86,14,yandex,cpc,ecohome_heating,mobile
EcoHome_Solar,Heat_A,2024-04-12,8580,318,11345.98,34,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Heat_B,2024-04-12,17293,456,12505.15,25,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,Solar_A,2024-04-12,16268,581,7996.35,17,yandex,cpc,ecohome_solar,mobile
EcoHome_Solar,Solar_B,2024-04-12,11928,298,15436.05,12,yandex,cpc,ecohome_solar,desktop
EcoHome_Solar,SmartHome_A,2024-04-12,19719,448,13804.73,34,yandex,cpc,ecohome_solar,desktop
EcoHome_SmartHome,Heat_A,2024-04-12,7466,171,17338.3,23,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Heat_B,2024-04-12,11524,194,18388.17,0,yandex,cpc,ecohome_smarthome,desktop
EcoHome_SmartHome,Solar_A,2024-04-12,9895,213,10610.76,13,yandex,cpc,ecohome_smarthome,desktop
